File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lto-llvm-51a62a.o,95.650177%,108100,11185,32088,75751,261,10924
mf_w.l,1.790897%,2024,0,2024,0,0,0
startup_at32f415.o,0.357471%,404,1024,36,368,0,1024
dadd.o,0.295533%,334,0,334,0,0,0
mc_w.l,0.205281%,232,0,232,0,0,0
dmul.o,0.201741%,228,0,228,0,0,0
ddiv.o,0.196432%,222,0,222,0,0,0
depilogue.o,0.164578%,186,0,186,0,0,0
fadd.o,0.155730%,176,0,176,0,0,0
fdiv.o,0.109719%,124,0,124,0,0,0
fepilogue.o,0.097331%,110,0,110,0,0,0
fmul.o,0.088483%,100,0,100,0,0,0
dfixi.o,0.054859%,62,0,62,0,0,0
d2f.o,0.049551%,56,0,56,0,0,0
dcmpgt.o,0.047781%,54,0,54,0,0,0
ffixi.o,0.044242%,50,0,50,0,0,0
dfixui.o,0.044242%,50,0,50,0,0,0
init.o,0.042472%,48,0,48,0,0,0
ffixui.o,0.035393%,40,0,40,0,0,0
f2d.o,0.033624%,38,0,38,0,0,0
memseta.o,0.031854%,36,0,36,0,0,0
llsshr.o,0.031854%,36,0,36,0,0,0
llushr.o,0.028315%,32,0,32,0,0,0
llshl.o,0.026545%,30,0,30,0,0,0
handlers.o,0.026545%,30,0,30,0,0,0
fcmplt.o,0.024775%,28,0,28,0,0,0
fcmple.o,0.024775%,28,0,28,0,0,0
fcmpgt.o,0.024775%,28,0,28,0,0,0
fcmpge.o,0.024775%,28,0,28,0,0,0
fcmpeq.o,0.024775%,28,0,28,0,0,0
dfltui.o,0.023006%,26,0,26,0,0,0
fflti.o,0.015927%,18,0,18,0,0,0
ffltui.o,0.008848%,10,0,10,0,0,0
entry9a.o,0.007079%,8,0,8,0,0,0
entry2.o,0.007079%,8,0,8,0,0,0
entry5.o,0.003539%,4,0,4,0,0,0
