File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
lcd.o,27.206266%,1042,80134,3516,76618,0,1042
startup_at32f415.o,26.736292%,1024,404,36,368,0,1024
ha01_handle.o,26.109661%,1000,232,232,0,0,1000
key_handle.o,4.229765%,162,2546,2370,24,152,10
tmt.o,3.864230%,148,390,390,0,0,148
encoderec11.o,2.976501%,114,712,600,0,112,2
output_handle.o,2.584857%,99,1650,1568,0,82,17
adc_filter.o,1.253264%,48,180,180,0,0,48
pid_operation.o,1.148825%,44,278,278,0,0,44
lcd_handle.o,0.992167%,38,5254,5242,0,12,26
at32_usart.o,0.939948%,36,108,108,0,0,36
flash_handle.o,0.678851%,26,2172,2172,0,0,26
beep.o,0.443864%,17,149,128,5,16,1
at32f415_int.o,0.417755%,16,508,500,0,8,8
ec11_handle.o,0.130548%,5,4124,4122,0,2,3
wk_system.o,0.104439%,4,108,108,0,0,4
system_at32f415.o,0.104439%,4,312,308,0,4,0
key.o,0.052219%,2,418,416,0,2,0
main.o,0.026110%,1,466,466,0,0,1
